jornada,equipo,partidos_jugados,goles_marcados_pp,goles_encajados_pp,victorias_pp,empates_pp,Amarillo_pp,Amarillo-Rojo_pp,Córners_pp,Duelos_pp,Faltas cometidas_pp,Fuera de juego_pp,Pases exitosos_pp,Pases ges._pp,Posesión de balón en %_pp,Rojo_pp,Tiros a puerta_pp,goles_marcados_racha,goles_encajados_racha,victoria_racha,empate_racha,derrota_racha,Amarillo_racha,Amarillo-Rojo_racha,Córners_racha,Duelos_racha,Faltas cometidas_racha,Fuera de juego_racha,Pases exitosos_racha,Pases ges._racha,Posesión de balón en %_racha,Rojo_racha,Tiros a puerta_racha
24,Espanyol Barcelona,24,0.9583333333333334,1.5,0.25,0.25,2.95,0.0,3.3,49.742000000000004,14.25,1.7058823529411764,76.04400000000001,295.75,41.2295,0.0,8.75,1.2,1.0,0.4,0.4,0.2,2.5,0.0,2.5,49.21000000000001,15.0,1.6666666666666667,73.365,263.75,37.3475,0.0,7.5
25,Espanyol Barcelona,25,0.96,1.44,0.28,0.24,2.857142857142857,0.0,3.238095238095238,49.72904761904762,14.142857142857142,1.7777777777777777,75.78619047619047,294.4761904761905,41.29190476190476,0.0,8.904761904761905,1.2,1.0,0.4,0.4,0.2,2.25,0.0,1.0,49.927499999999995,14.25,2.0,69.4525,223.5,35.1225,0.0,6.75
26,Espanyol Barcelona,26,0.9230769230769231,1.4230769230769231,0.2692307692307692,0.23076923076923078,2.8181818181818183,0.0,3.090909090909091,49.55318181818182,14.272727272727273,1.6842105263157894,75.63181818181819,293.27272727272725,41.406363636363636,0.0,8.909090909090908,1.0,0.8,0.4,0.4,0.2,2.2,0.0,0.8,49.114,14.8,1.5,70.03999999999999,232.4,36.86,0.0,7.2
27,Espanyol Barcelona,27,0.9259259259259259,1.4074074074074074,0.25925925925925924,0.25925925925925924,2.8181818181818183,0.0,3.090909090909091,49.55318181818182,14.272727272727273,1.6842105263157894,75.63181818181819,293.27272727272725,41.406363636363636,0.0,8.909090909090908,0.8,0.8,0.4,0.2,0.4,1.75,0.0,0.75,47.795,15.0,1.5,72.4675,244.5,38.292500000000004,0.0,7.5
28,Espanyol Barcelona,28,0.9285714285714286,1.4285714285714286,0.25,0.25,2.8260869565217392,0.0,3.130434782608696,49.50521739130434,14.130434782608695,1.6,75.90826086956523,291.8695652173913,41.27,0.0,8.826086956521738,0.8,1.0,0.2,0.4,0.4,2.0,0.0,1.5,47.5775,14.25,1.5,73.6825,254.0,40.4425,0.0,8.0
29,Espanyol Barcelona,29,0.9310344827586207,1.4137931034482758,0.2413793103448276,0.27586206896551724,2.7916666666666665,0.0,3.0833333333333335,49.57541666666666,14.041666666666666,1.5238095238095237,75.9275,289.5833333333333,41.265,0.0,8.541666666666666,0.8,1.0,0.2,0.4,0.4,2.0,0.0,2.0,48.74249999999999,13.0,0.75,75.345,258.75,41.4425,0.0,7.5
30,Espanyol Barcelona,30,1.0333333333333334,1.3666666666666667,0.26666666666666666,0.26666666666666666,2.76,0.0,3.12,49.5924,13.96,1.4545454545454546,76.2036,292.68,41.2924,0.0,8.52,0.8,1.0,0.2,0.4,0.4,2.25,0.0,2.5,48.875,13.0,0.0,78.395,283.25,41.295,0.0,6.5
31,Espanyol Barcelona,31,1.064516129032258,1.3225806451612903,0.2903225806451613,0.25806451612903225,2.76,0.0,3.12,49.5924,13.96,1.4545454545454546,76.2036,292.68,41.2924,0.0,8.52,1.4,1.0,0.2,0.4,0.4,2.3333333333333335,0.0,3.3333333333333335,49.879999999999995,11.666666666666666,0.0,80.39666666666666,288.3333333333333,40.45666666666667,0.0,5.666666666666667
32,Espanyol Barcelona,32,1.0625,1.28125,0.3125,0.25,2.730769230769231,0.0,3.1923076923076925,49.863076923076925,13.807692307692308,1.434782608695652,76.4523076923077,292.96153846153845,41.27384615384615,0.0,8.384615384615385,1.8,0.8,0.4,0.4,0.2,2.25,0.0,3.75,51.5675,11.25,0.25,80.965,291.25,40.545,0.0,5.5
33,Espanyol Barcelona,33,1.0606060606060606,1.2727272727272727,0.30303030303030304,0.2727272727272727,2.730769230769231,0.0,3.1923076923076925,49.863076923076925,13.807692307692308,1.434782608695652,76.4523076923077,292.96153846153845,41.27384615384615,0.0,8.384615384615385,1.8,0.6,0.6,0.2,0.2,2.0,0.0,3.6666666666666665,52.60666666666666,11.333333333333334,0.3333333333333333,80.62333333333333,301.3333333333333,41.303333333333335,0.0,5.0
34,Espanyol Barcelona,34,1.0588235294117647,1.2941176470588236,0.29411764705882354,0.2647058823529412,2.6666666666666665,0.0,3.2222222222222223,50.220740740740744,13.555555555555555,1.4166666666666667,76.49444444444444,293.18518518518516,41.17703703703704,0.0,8.37037037037037,1.8,0.4,0.6,0.4,0.0,1.6666666666666667,0.0,4.333333333333333,55.38333333333333,9.666666666666666,0.6666666666666666,81.03,322.0,40.47333333333333,0.0,7.0
35,Espanyol Barcelona,35,1.0857142857142856,1.3428571428571427,0.2857142857142857,0.2571428571428571,2.642857142857143,0.0,3.2142857142857144,50.019285714285715,13.642857142857142,1.56,76.76642857142858,293.5,41.17392857142857,0.0,8.464285714285714,1.8,0.6,0.6,0.2,0.2,1.6666666666666667,0.0,4.0,53.576666666666675,11.0,2.3333333333333335,81.45666666666666,300.3333333333333,40.18666666666667,0.0,8.0
36,Espanyol Barcelona,36,1.0555555555555556,1.3611111111111112,0.2777777777777778,0.25,2.6206896551724137,0.0,3.3793103448275863,50.09758620689655,13.793103448275861,1.5384615384615385,76.63241379310345,293.9310344827586,41.44931034482759,0.0,8.586206896551724,1.4,1.2,0.4,0.2,0.4,1.75,0.0,5.0,53.255,12.75,2.0,79.3125,301.75,42.43,0.0,9.0
37,Espanyol Barcelona,37,1.027027027027027,1.3783783783783783,0.2702702702702703,0.24324324324324326,2.6666666666666665,0.0,3.3666666666666667,49.983333333333334,13.6,1.6666666666666667,76.35533333333333,290.8666666666667,41.10166666666667,0.03333333333333333,8.6,1.0,1.6,0.2,0.2,0.6,2.25,0.0,4.5,50.765,12.25,3.0,75.725,277.25,39.9825,0.25,10.0
38,Espanyol Barcelona,38,1.0526315789473684,1.3421052631578947,0.2894736842105263,0.23684210526315788,2.6129032258064515,0.0,3.4516129032258065,50.12,13.32258064516129,1.6785714285714286,76.61225806451613,294.03225806451616,41.491290322580646,0.03225806451612903,8.838709677419354,0.8,2.0,0.0,0.2,0.8,2.0,0.0,4.8,51.456,10.8,2.8,77.44399999999999,299.6,42.622,0.2,11.2
1,FC Barcelona,1,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FC Barcelona,2,2.0,1.0,1.0,0.0,3.0,0.0,8.0,44.57,13.0,1.0,85.95,555.0,60.0,0.0,18.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,8.0,44.57,13.0,1.0,85.95,555.0,60.0,0.0,18.0
3,FC Barcelona,3,2.0,1.0,1.0,0.0,3.5,0.0,6.5,51.285,12.0,1.5,86.575,547.0,60.89,0.0,15.5,2.0,1.0,1.0,0.0,0.0,3.5,0.0,6.5,51.285,12.0,1.5,86.575,547.0,60.89,0.0,15.5
